@RELATION audio_models/svm/svm
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {lie,truth}

@DATA
0.065883,0.008974,2.852091,0.133336,0.154085,0.483850,0.010949,0.080242,-30.287644,2.120670,0.095216,-0.043673,-0.336860,-0.167320,-0.047380,0.148675,-0.199434,0.065127,-0.482239,0.091592,-0.181961,0.030668,0.011273,0.030344,0.015512,0.019613,0.008843,0.016123,0.002440,0.012944,0.010047,0.012884,0.008097,0.019440,0.049625,0.011434,0.437897,0.055700,0.045825,0.432735,0.007639,0.080226,4.529995,1.181765,0.819739,0.512422,0.507381,0.401002,0.345022,0.338715,0.265554,0.257059,0.296892,0.214493,0.201125,0.030730,0.015678,0.027957,0.018350,0.016824,0.010522,0.017152,0.003421,0.014644,0.011839,0.014653,0.010768,0.011146,lie
0.077105,0.005379,2.928413,0.199841,0.197048,0.540743,0.007178,0.063242,-35.559715,1.558212,-0.025614,0.113107,-0.111006,-0.000445,0.082106,-0.099731,-0.029137,-0.205547,-0.160687,-0.012323,-0.173493,0.015090,0.003186,0.020999,0.020076,0.031145,0.006862,0.010802,0.002766,0.006088,0.018829,0.023833,0.004887,0.019804,0.040484,0.007650,0.455101,0.080150,0.054029,0.358838,0.005902,0.059586,6.159099,0.947179,0.564984,0.418525,0.366003,0.356812,0.317167,0.279781,0.262956,0.234579,0.250626,0.214028,0.235231,0.015749,0.003999,0.021182,0.022846,0.026412,0.007886,0.010229,0.003696,0.005647,0.016566,0.026553,0.005966,0.011201,lie
0.050840,0.012496,2.902312,0.124277,0.162298,0.308684,0.013302,0.049566,-30.386058,2.665812,0.136912,-0.127729,-0.636041,0.119330,-0.107535,-0.230907,-0.068507,-0.196620,0.112232,-0.120654,-0.057149,0.021773,0.008647,0.015362,0.016620,0.038200,0.032104,0.023490,0.003849,0.009389,0.011152,0.018997,0.011183,0.025621,0.035751,0.013806,0.425546,0.048462,0.046162,0.353985,0.009340,0.055519,4.111971,0.970052,0.687479,0.388781,0.502857,0.402144,0.347755,0.332566,0.265483,0.241003,0.235629,0.235390,0.206459,0.025082,0.011910,0.016826,0.022257,0.038164,0.035726,0.020362,0.007843,0.012750,0.011952,0.019837,0.015507,0.014127,lie
0.078986,0.001407,2.914265,0.210537,0.199463,0.473488,0.006881,0.055764,-36.571312,1.767008,0.185874,0.092051,-0.237032,0.051904,0.049988,0.043070,-0.055314,-0.223578,-0.085817,-0.145844,-0.098191,0.020609,0.006657,0.018194,0.015941,0.035275,0.009456,0.018913,0.001556,0.004864,0.017261,0.016219,0.005165,0.018639,0.045490,0.001654,0.367906,0.076138,0.047029,0.325297,0.005425,0.057048,4.404120,0.964039,0.613869,0.401686,0.443815,0.320949,0.302171,0.261638,0.249407,0.224965,0.187321,0.171600,0.162417,0.019992,0.008991,0.015837,0.016881,0.024821,0.010062,0.016929,0.001973,0.005700,0.018358,0.016152,0.006073,0.009030,lie
0.050572,0.008467,2.977949,0.124445,0.161792,0.354785,0.010337,0.055993,-30.617694,2.294040,0.135118,-0.101908,-0.421198,0.635585,-0.395603,0.041363,-0.198435,-0.000979,-0.092570,0.063420,-0.012227,0.017006,0.007393,0.010024,0.007871,0.036679,0.037422,0.039733,0.002436,0.009761,0.011334,0.011679,0.008536,0.024615,0.035874,0.009230,0.392805,0.055954,0.050049,0.308325,0.007512,0.050775,4.885662,0.849457,0.686315,0.472722,0.517982,0.477203,0.355806,0.293035,0.266213,0.243745,0.229829,0.228735,0.197095,0.018136,0.009742,0.010411,0.008580,0.032023,0.037352,0.032093,0.003819,0.014004,0.012237,0.013193,0.011246,0.011929,lie
0.063239,0.015316,2.964637,0.140567,0.168585,0.411903,0.011640,0.063813,-31.000844,1.621185,-0.209074,-0.021578,-0.420250,0.058835,-0.095757,-0.161848,-0.067232,-0.400822,-0.213314,-0.294788,-0.327291,0.030367,0.015778,0.037094,0.021761,0.015310,0.006418,0.009684,0.004638,0.009558,0.006802,0.011314,0.007758,0.022554,0.038395,0.016281,0.483592,0.058934,0.049981,0.339647,0.009799,0.057854,5.008518,0.987982,0.662397,0.480612,0.442636,0.383291,0.296344,0.309495,0.271503,0.364792,0.327749,0.294491,0.362587,0.036245,0.019870,0.033908,0.022924,0.019812,0.008274,0.010552,0.006810,0.016194,0.007701,0.013240,0.010040,0.013552,lie
0.053805,0.016054,2.873303,0.123334,0.156728,0.312298,0.011947,0.056439,-29.648254,2.461843,-0.012592,-0.453625,-0.515217,0.398708,-0.070272,-0.116142,-0.260046,0.005955,-0.090059,-0.025085,-0.106303,0.016210,0.011638,0.030351,0.023353,0.025487,0.017564,0.015898,0.006252,0.009272,0.012520,0.009520,0.004114,0.021678,0.040442,0.016763,0.429367,0.050900,0.044538,0.333782,0.008171,0.055881,4.185752,0.999781,0.741955,0.495772,0.428057,0.455233,0.367819,0.289428,0.246832,0.242428,0.218674,0.209472,0.182297,0.020597,0.013913,0.030237,0.025527,0.021689,0.021982,0.018175,0.011271,0.010327,0.013996,0.010634,0.005412,0.011995,lie
0.046152,0.017352,2.830989,0.105001,0.151361,0.316277,0.013108,0.058774,-28.973008,2.619329,0.059781,-0.237501,-0.448233,0.241398,-0.040468,0.190698,-0.273301,-0.012750,0.205733,-0.087933,0.000602,0.018505,0.007308,0.026853,0.015813,0.027654,0.011085,0.018030,0.006410,0.016121,0.015720,0.011449,0.004793,0.018997,0.035863,0.021877,0.436685,0.045214,0.044451,0.390375,0.009333,0.061724,4.312547,1.075376,0.837165,0.529845,0.464969,0.422868,0.443159,0.336628,0.302257,0.247888,0.280597,0.211954,0.203287,0.022465,0.009031,0.021185,0.014700,0.024216,0.012406,0.019045,0.009224,0.019332,0.018799,0.013458,0.006721,0.010036,lie
0.080394,0.007753,2.868767,0.153370,0.179801,0.379718,0.011612,0.047467,-33.084715,2.421890,0.105947,-0.100320,-0.225320,0.181431,-0.054834,0.070367,-0.192456,-0.077118,0.126249,-0.075613,-0.019122,0.015059,0.004822,0.025303,0.018220,0.031917,0.015719,0.024214,0.003929,0.009508,0.018341,0.013861,0.005392,0.020268,0.054525,0.011172,0.432101,0.067999,0.047664,0.348752,0.009077,0.049820,4.674490,1.008671,0.677740,0.460225,0.435693,0.403114,0.346580,0.295240,0.297246,0.244452,0.262426,0.198979,0.188358,0.018510,0.006280,0.023077,0.020328,0.026012,0.018993,0.023329,0.006268,0.011452,0.019859,0.015124,0.007575,0.009979,lie
0.059525,0.010583,2.822326,0.122473,0.155052,0.391164,0.012528,0.071653,-30.695170,2.194670,0.234146,-0.064368,-0.595679,-0.102272,0.117813,-0.317978,-0.123040,-0.279067,-0.066007,-0.072496,-0.242630,0.022144,0.008107,0.020866,0.014348,0.024063,0.022134,0.023609,0.003574,0.010065,0.011683,0.022933,0.006927,0.020210,0.044566,0.013760,0.458076,0.053362,0.046334,0.397975,0.009798,0.071144,5.053272,1.221200,0.639432,0.581380,0.492665,0.428425,0.418701,0.367592,0.325353,0.267764,0.260919,0.230596,0.217782,0.020503,0.011946,0.021851,0.016749,0.028152,0.028744,0.026051,0.005837,0.012797,0.013267,0.022112,0.009653,0.011878,lie
